Angrignon,Angrignon,Green
Monk,Monk,Green
Jolicoeur,Jolicoeur,Green
Verdun,Verdun,Green
LaSalle,LaSalle,Green
Charlevoix,Charlevoix,Green
Groulx,Lionel-Groulx,Green;Orange
Atwater,Atwater,Green
Guy,Guy-Concordia,Green
Peel,Peel,Green
McGill,McGill,Green
Laurent,Saint-Laurent,Green
Berri,Berri-UQAM,Green;Orange;Yellow
Beaudry,Beaudry,Green
Papineau,Papineau,Green
Frontenac,Frontenac,Green
Préfontaine,Préfontaine,Green
Joliette,Joliette,Green
Pie-IX,Pie-IX,Green
Viau,Viau,Green
Assomption,Assomption,Green
Cadillac,Cadillac,Green
Langelier,Langelier,Green
Radisson,Radisson,Green
Beaugrand,Honoré-Beaugrand,Green
Namur,Namur,Orange
Plamondon,Plamondon,Orange
Catherine,Côte-Sainte-Catherine,Orange
Snowdon,Snowdon,Orange;Blue
Maria,Villa-Maria,Orange
Vendôme,Vendôme,Orange
Henri,Place-Saint-Henri,Orange
Vanier,Georges-Vanier,Orange
L'Allier,Lucien-L'Allier,Orange
Bonaventure,Bonaventure,Orange
Victoria,Square-Victoria,Orange
Sherbrooke,Sherbrooke,Orange
Laurier,Laurier,Orange
Rosemont,Rosemont,Orange
Beaubien,Beaubien,Orange
Jean-Talon,Jean-Talon,Orange;Blue
Jarry,Jarry,Orange
Crémazie,Crémazie,Orange
Sauvé,Sauvé,Orange
Henri-Bourassa,Henri-Bourassa,Orange
Cartier,Cartier,Orange
Concorde,De La Concorde,Orange
Montmorency,Montmorency,Orange
Drapeau,Jean-Drapeau,Yellow
Longueuil,Longueuil–Université-de-Sherbrooke,Yellow
Montpetit,Édouard-Montpetit,Blue
Outremont,Outremont,Blue
Acadie,Acadie,Blue
Castelnau,De Castelnau,Blue
Fabre,Fabre,Blue
Michel,Saint-Michel,Blue
